# status	score	title	detail
error	-	Pie with Segment-specific Radius	CanvasMakie: pattern fills on poly not implemented yet (plan R-005)
recorded	0.0154	streamplot	
recorded	0.0151	Triplot with points, ghost edges, and convex hull	
recorded	0.015	Datashader AggCount	
recorded	0.0149	Datashader AggMean	
recorded	0.0149	lines (some with NaNs) with array colors	
recorded	0.0143	colorscale (hexbin)	
recorded	0.0143	hvlines + hvspan with transform_func	
recorded	0.0141	intersecting polygon	
recorded	0.0137	Rangebars x y low high	
recorded	0.0137	ablines + hvlines + hvspan	
recorded	0.0137	Plotting empty polygons	
recorded	0.0136	ecdfplot	
recorded	0.0136	scale_plot	
recorded	0.0136	Violin	
recorded	0.0134	colorscale (heatmap)	
recorded	0.0132	Errorbars x y low high	
recorded	0.0131	Voronoiplot after adding points	
recorded	0.013	Log scale histogram (barplot)	
recorded	0.013	Voronoiplot with empty polygons and automatic color generation	
recorded	0.0128	colormap with specific values	
recorded	0.0122	Z-translation within a recipe	
recorded	0.012	Errorbars log scale	
recorded	0.0118	colorscale (scatter)	
recorded	0.0116	crossbar	
recorded	0.0109	hist(...; gap=0.1)	
recorded	0.0107	Spy	
recorded	0.0107	MultiHist	
recorded	0.0107	hexbin logscale	
recorded	0.0105	bracket vector	
recorded	0.0102	Voronoiplots with clipped tessellation and unbounded polygons	
recorded	0.0101	filled contour 2d with curvilinear grid	
recorded	0.01	waterfall	
recorded	0.01	qqnorm	
recorded	0.0099	hexbin colorrange highclip lowclip	
recorded	0.0097	Band with NaN	
recorded	0.0093	contour with single alpha color	
recorded	0.0091	Voronoiplot for a centroidal tessellation with an automatic colormap	
skipped	-	Arrows on hemisphere	skip list
skipped	-	FEM poly and mesh	skip pattern: wireframe
skipped	-	colored triangle (mesh, poly, 3D) + poly stroke	skip list
skipped	-	Transforming lines	skip pattern: Stepper
skipped	-	Axes label rotations	skip pattern: Stepper
skipped	-	Colorbar label rotations	skip pattern: Stepper
skipped	-	2D surface with explicit color	skip pattern: surface(
skipped	-	textlabel	skip pattern: Axis3
skipped	-	tricontourf	skip pattern: tricontourf
skipped	-	tricontourf extendhigh extendlow	skip pattern: tricontourf
skipped	-	tricontourf relative mode	skip pattern: tricontourf
skipped	-	tricontourf manual vs delaunay	skip pattern: tricontourf
skipped	-	tricontourf with boundary nodes	skip pattern: tricontourf
skipped	-	tricontourf with boundary nodes and edges	skip pattern: tricontourf
skipped	-	tricontourf with provided triangulation	skip pattern: tricontourf
skipped	-	tricontourf alpha transparency	skip pattern: tricontourf
skipped	-	contour 2d with curvilinear grid	skip pattern: surface(
skipped	-	contour labels 3D	skip pattern: Axis3
skipped	-	hexbin bin int	skip pattern: wireframe
skipped	-	hexbin bin tuple	skip pattern: wireframe
skipped	-	hexbin two cellsizes	skip pattern: wireframe
skipped	-	hexbin one cellsize	skip pattern: wireframe
skipped	-	px_per_unit and scalefactor	skip pattern: Stepper
skipped	-	Clip planes - CairoMakie overrides	skip pattern: tricontourf
skipped	-	Color Patterns	skip pattern: meshscatter
skipped	-	Color Pattern orientation	skip pattern: meshscatter
skipped	-	Color patterns in recipes	skip pattern: Stepper
skipped	-	arrow min- and maxshaftlength scaling	skip pattern: arrows3d
skipped	-	arrows3d alignment	skip pattern: arrows3d
skipped	-	arrows2d updates	skip pattern: Stepper
skipped	-	arrows3d updates	skip pattern: arrows3d
skipped	-	Transformed rotations	skip pattern: contour3d
unsupported	-	Streamplot animation	result type VideoStream (video/steps?)
unsupported	-	Line changing colour	result type VideoStream (video/steps?)
# REFPASS passed=84/93 scored=90 recorded=90 errored=1 unsupported=2 rate=0.903
